hash,path,created,modified,filesize,count,action
135a0a7b2f5eece7ce53c6fbb26e9cd9,../Photos2/New Folder With Items 2/7612e4ee-b49a-46d2-94d9-fbc234c71b2e.jpg,2020-04-09 19:00:43,2020-04-07 14:38:28,110598,1,keep
135a0a7b2f5eece7ce53c6fbb26e9cd9,../Photos2/New Folder With Items/New Folder With Items 2/7612e4ee-b49a-46d2-94d9-fbc234c71b2e.jpg,2020-04-10 20:48:19,2020-04-07 14:38:28,110598,1,delete
135a0a7b2f5eece7ce53c6fbb26e9cd9,../Photos2/New Folder With Items/New Folder With Items 2/New Folder With Items 2/7612e4ee-b49a-46d2-94d9-fbc234c71b2e.jpg,2020-04-10 20:48:48,2020-04-07 14:38:28,110598,1,delete
