hash,path,created,modified,count
933827ccd64bd5345025069ddc79451f,../Photos2/New Folder With Items 2/0009845a-53ab-4b7b-838e-3e76fa6a638f copy 2.jpg,2020-04-09 19:00:43,2020-04-07 15:13:26,1
933827ccd64bd5345025069ddc79451f,../Photos2/New Folder With Items/0009845a-53ab-4b7b-838e-3e76fa6a638f copy 3.jpg,2020-04-09 19:00:38,2020-04-07 15:13:26,1
933827ccd64bd5345025069ddc79451f,../Photos2/New Folder With Items/0009845a-53ab-4b7b-838e-3e76fa6a638f copy.jpg,2020-04-09 19:00:38,2020-04-07 15:13:26,1
933827ccd64bd5345025069ddc79451f,../Photos2/New Folder With Items/0009845a-53ab-4b7b-838e-3e76fa6a638f.jpg,2020-04-09 19:00:38,2020-04-07 15:13:26,1
