hash,path,created,modified,filesize,count,action
051ad0975b0fe42a381722d027364ef4,../Photos2 copy/Photos copy 3/New Folder With Items 5/New Folder With Items 6/eac82624-d4e2-4108-9e15-8b27f59b0627.jpg,2020-04-09 23:54:07,2020-04-07 15:13:46,189866,1,keep
051ad0975b0fe42a381722d027364ef4,../Photos2 copy/Photos copy/New Folder With Items 5/New Folder With Items 6/eac82624-d4e2-4108-9e15-8b27f59b0627.jpg,2020-04-09 23:54:20,2020-04-07 15:13:46,189866,1,delete
0659c025cdb6e3afbcecb8ddeb52ff7e,../Photos2 copy/Photos copy 3/New Folder With Items 5/DSC_0022.jpg,2020-04-09 23:54:07,2020-04-07 19:58:50,65256,1,Keep
0659c025cdb6e3afbcecb8ddeb52ff7e,../Photos2 copy/Photos copy/New Folder With Items 5/DSC_0022.jpg,2020-04-09 23:54:20,2020-04-07 19:58:50,65256,1,delete
07f63c2ed334d6e3c31d13f4030156ed,../Photos2 copy/Photos copy 3/New Folder With Items/92f5ab2f-15b2-4175-a08d-06c7f66c0e28.jpg,2020-04-09 23:54:08,2020-04-07 15:13:26,201558,1,Keep
07f63c2ed334d6e3c31d13f4030156ed,../Photos2 copy/Photos copy/New Folder With Items/92f5ab2f-15b2-4175-a08d-06c7f66c0e28.jpg,2020-04-09 23:54:21,2020-04-07 15:13:26,201558,1,delete
0ba6b27dad449cbad5d3dbb883902909,../Photos2 copy/Photos copy 3/New Folder With Items 4/DSC_0031.jpg,2020-04-09 23:54:08,2020-04-07 20:02:18,69456,1,Keep
0ba6b27dad449cbad5d3dbb883902909,../Photos2 copy/Photos copy/New Folder With Items 4/DSC_0031.jpg,2020-04-09 23:54:20,2020-04-07 20:02:18,69456,1,delete
0d854a374daae737aab4ab7c6e111836,../Photos2 copy/Photos copy 3/New Folder With Items 5/New Folder With Items 6/DSC_0059.jpg,2020-04-09 23:54:07,2020-04-07 20:11:46,71659,1,Keep
0d854a374daae737aab4ab7c6e111836,../Photos2 copy/Photos copy/New Folder With Items 5/New Folder With Items 6/DSC_0059.jpg,2020-04-09 23:54:20,2020-04-07 20:11:46,71659,1,delete
112871ca99a2476614f08688781adb96,../Photos2 copy/Photos copy 3/New Folder With Items 3/DSC_0051.jpg,2020-04-09 23:54:07,2020-04-07 20:09:36,69259,1,Keep
112871ca99a2476614f08688781adb96,../Photos2 copy/Photos copy/New Folder With Items 3/DSC_0051.jpg,2020-04-09 23:54:20,2020-04-07 20:09:36,69259,1,delete
12c112a63d8262703301c74c49940045,../Photos2 copy/Photos copy 3/New Folder With Items 2/DSC_0012.jpg,2020-04-09 23:54:07,2020-04-07 19:51:00,33318,1,Keep
