hash,path,created,modified,filesize,count,action
3d3db1bf75a5af811da2a4cb6b42478d,../Fotos/Escritorio copy 2 2.JPG,2020-04-10 21:03:25,2019-06-28 10:08:37,116077,1,keep
3d3db1bf75a5af811da2a4cb6b42478d,../Fotos/New Folder With Items/Escritorio copy 2.JPG,2020-04-10 21:03:36,2019-06-28 10:08:37,116077,1,delete
89441b1331da1679c98ac30c2c6004cd,../Fotos/Escritorio 2.JPG,2020-04-10 21:03:25,2019-06-28 10:05:30,130174,1,Keep
89441b1331da1679c98ac30c2c6004cd,../Fotos/New Folder With Items/Escritorio.JPG,2020-04-10 21:03:36,2019-06-28 10:05:30,130174,1,delete
ef8cab05963a17a03072be7fdfe7daeb,../Fotos/New Folder With Items/Escritorio copy 3.JPG,2020-04-10 21:03:36,2019-06-28 10:07:50,106405,1,Keep
ef8cab05963a17a03072be7fdfe7daeb,../Fotos/New Folder With Items/Escritorio copy.JPG,2020-04-10 21:03:36,2019-06-28 10:07:50,106405,1,delete
