hash,path,created,modified,filesize,count,action
135a0a7b2f5eece7ce53c6fbb26e9cd9,../2/7612e4ee-b49a-46d2-94d9-fbc234c71b2e.jpg,2020-04-10 22:24:57,2020-04-07 14:38:28,110598,1,keep
135a0a7b2f5eece7ce53c6fbb26e9cd9,../2/7612e4ee-b49a-46d2-94d9-fbc234c71b2e copy 2.jpg,2020-04-10 22:25:08,2020-04-07 14:38:28,110598,1,delete
135a0a7b2f5eece7ce53c6fbb26e9cd9,../2/7612e4ee-b49a-46d2-94d9-fbc234c71b2e copy.jpg,2020-04-10 22:25:08,2020-04-07 14:38:28,110598,1,delete
933827ccd64bd5345025069ddc79451f,../2/0009845a-53ab-4b7b-838e-3e76fa6a638f 2.jpg,2020-04-10 22:24:57,2020-04-07 15:13:26,211440,1,Keep
933827ccd64bd5345025069ddc79451f,../2/0009845a-53ab-4b7b-838e-3e76fa6a638f 2 copy 2.jpg,2020-04-10 22:25:08,2020-04-07 15:13:26,211440,1,delete
933827ccd64bd5345025069ddc79451f,../2/0009845a-53ab-4b7b-838e-3e76fa6a638f 2 copy.jpg,2020-04-10 22:25:08,2020-04-07 15:13:26,211440,1,delete
933827ccd64bd5345025069ddc79451f,../2/0009845a-53ab-4b7b-838e-3e76fa6a638f 2 copy 3.jpg,2020-04-10 22:25:13,2020-04-07 15:13:26,211440,1,delete
